tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_72	0.9973189500000003	0.013469645654285737	0.9558726368532767	0.3736886500000001	0.45	0.23684210526315788	0.3103448275862069	9.0	29.0	11.0	38.0	0.1836734693877551	1.1189328474650548	0.3076031187531293	0.19863954622056593
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_73	0.9965483999999998	0.019313476412380973	0.9577896472810948	0.48500337999999976	0.45	0.2647058823529412	0.33333333333333337	9.0	25.0	11.0	34.0	0.2	1.0936524282176026	0.31013630642222684	0.24537920283581496
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_74	0.99681054	0.026827709785714266	0.9391251244806583	0.43462507999999994	0.4	0.23529411764705882	0.29629629629629634	8.0	26.0	12.0	34.0	0.17391304347826086	1.294345194476455	0.36704845844352296	0.2214428319112439
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_70	0.9936328900000001	0.02552660194666667	0.9574705661107977	0.43557647000000005	0.4	0.18181818181818182	0.25000000000000006	8.0	36.0	12.0	44.0	0.14285714285714285	1.1502092852714354	0.30395128060230825	0.2244656515478565
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_66	0.9959931200000001	0.039178830765714316	0.9387224306469538	0.6314783800000001	0.4	0.20512820512820512	0.27118644067796605	8.0	31.0	12.0	39.0	0.1568627450980392	1.1874721684261877	0.3241305273737341	0.32120348440448
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_56	0.9919310399999999	0.0209966649447619	0.9441085163681668	0.41157363999999985	0.45	0.20930232558139536	0.28571428571428575	9.0	34.0	11.0	43.0	0.16666666666666666	1.3299680965085592	0.35360205668379174	0.20960882308801032
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_64	0.9952834400000001	0.025535462827619072	0.9532240523663936	0.3934956399999999	0.3	0.2222222222222222	0.25531914893617025	6.0	21.0	14.0	27.0	0.14634146341463414	1.149775476561532	0.34885691352662407	0.20175741215723336
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_63	0.9948897299999997	0.0619524561914286	0.9393521591316919	1.1159660700000003	0.3	0.14285714285714285	0.19354838709677416	6.0	36.0	14.0	42.0	0.10714285714285714	1.0461028219890047	0.2798810298459331	0.5721111100419303
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_62	0.9929080500000004	0.015542368228571421	0.9320049514055505	0.35986268999999993	0.45	0.18	0.2571428571428572	9.0	41.0	11.0	50.0	0.14754098360655737	1.2250668161246352	0.3131542975143009	0.19066481605308816
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_61	0.9970633799999998	0.028497285376190517	0.9467400488061175	0.6888580199999998	0.25	0.14705882352941177	0.18518518518518517	5.0	29.0	15.0	34.0	0.10204081632653061	1.1110043514884773	0.31505693865757195	0.394470924873602
