tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
marmgCAMI2_short_read_sample_0-9.focus_1.5.profile	marmgCAMI2_short_read_sample_6	0.9018370443038123	0.06753656937708435	0.7253785869018242	0.2763431664053305	0.5666666666666667	0.6296296296296297	0.5964912280701755	17.0	10.0	13.0	27.0	0.425	1.8564216762781023	0.5632626103028923	0.1497740514408252
marmgCAMI2_short_read_sample_0-9.focus_1.5.profile	marmgCAMI2_short_read_sample_5	0.9010091422286802	0.06875186701202197	0.7119929344443218	0.2559057689609764	0.5517241379310345	0.6666666666666666	0.6037735849056604	16.0	8.0	13.0	24.0	0.43243243243243246	1.897210670080346	0.5969724779245265	0.13819006366449016
marmgCAMI2_short_read_sample_0-9.focus_1.5.profile	marmgCAMI2_short_read_sample_3	0.8930280545095645	0.06299629047640354	0.7113769978315021	0.26558545497357416	0.5161290322580645	0.6666666666666666	0.5818181818181819	16.0	8.0	15.0	24.0	0.41025641025641024	1.840697659064313	0.579190208009405	0.14336147486826464
marmgCAMI2_short_read_sample_0-9.focus_1.5.profile	marmgCAMI2_short_read_sample_2	0.8912415487409704	0.060481922634568815	0.6441186206536743	0.3110680213252773	0.5357142857142857	0.625	0.576923076923077	15.0	9.0	13.0	24.0	0.40540540540540543	1.7781643365827289	0.5595135990468886	0.16763819685228604
marmgCAMI2_short_read_sample_0-9.focus_1.5.profile	marmgCAMI2_short_read_sample_1	0.8916502317576529	0.0641960215144099	0.6246101083908777	0.28330734740569563	0.5483870967741935	0.68	0.6071428571428571	17.0	8.0	14.0	25.0	0.4358974358974359	1.8089515349972853	0.5619823918095238	0.15364403650782812
marmgCAMI2_short_read_sample_0-9.focus_1.5.profile	marmgCAMI2_short_read_sample_0	0.872258835589174	0.06083886365759961	0.651980981605718	0.30173217553209125	0.6	0.6	0.6	15.0	10.0	10.0	25.0	0.42857142857142855	1.62696992928095	0.5054466272701177	0.1647631298819224
marmgCAMI2_short_read_sample_0-9.focus_1.5.profile	marmgCAMI2_short_read_sample_4	0.8796053846416458	0.06103325047568054	0.6858410373282022	0.24009011930892205	0.5185185185185185	0.56	0.5384615384615384	14.0	11.0	13.0	25.0	0.3684210526315789	1.8013537510640856	0.5596220075180575	0.1298847809691862
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_6	0.9999999999999994	0.06904606018979229	4.840736000995219	0.5718475214074994	0.6666666666666666	0.06269592476489028	0.1146131805157593	20.0	299.0	10.0	319.0	0.060790273556231005	2.5779256461017717	0.447153546194942	0.29427680789587424
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_9	0.9999999999999994	0.06486596711605747	8.195730656919388	0.5514006482378322	0.6551724137931034	0.05757575757575758	0.10584958217270195	19.0	311.0	10.0	330.0	0.05588235294117647	2.583910790777919	0.44557156519829627	0.28107876631230205
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_8	1.0000000000000009	0.07633961190987483	9.396782035866044	0.7187544219800371	0.6666666666666666	0.028530670470756064	0.05471956224350206	20.0	681.0	10.0	701.0	0.02812939521800281	2.9560049681898057	0.4511257398161757	0.3663282902984313
