Genome	SRR24442552 Mean	SRR24442553 Mean	SRR24442554 Mean	SRR24442555 Mean	SRR24442556 Mean	SRR24442557 Mean	SRR24442558 Mean	SRR24442559 Mean
3_bin.68	0	0	0.27682188	0	0.23635238	8.086541	0.21509764	0
3_bin.69	0	0	0	0	0.6787332	8.241698	1.526869	0.15332864
3_bin.74	0.48008102	0.8433152	0.56632113	0.4056693	0.51344514	23.951406	1.0775939	0
3_bin.78	0	0	0	0	0	9.154722	0	0
3_bin.80	0	0	0	0	0	6.5249963	0.62663287	0
3_bin.83	0.7875802	1.924158	3.9267426	0.75717866	1.2533752	6.7358313	0.54432344	0
3_bin.84	0	0	0	0	0	10.386666	2.1174967	0
3_bin.86	0.66059566	2.2348237	5.625814	7.551853	10.198984	9.86286	3.5379975	6.046493
3_bin.88	0	15.730081	0	0.33088273	9.7701845	25.86429	9.812891	0.4059664
3_bin.89	0	0	5.1363487	0	0	7.670069	0	0
3_bin.90	0	0	0	0	0	7.0020933	0	0
3_bin.91	0	0.40877035	1.2116266	0	0.81193584	19.769417	7.875719	0
3_bin.92	38.273083	7.868513	1.88314	1.3626776	5.3118525	8.747295	0.31969896	0
3_bin.93	0.1349169	0	0	0.20619282	0.8434255	12.729552	0.7605672	0
3_bin.96	0.32194415	0	0	0.31087345	0	19.477684	2.4761636	0
3_bin.101	0.4332197	0	0.18384546	0	1.8351879	11.028037	0.9900571	0
3_bin.102	0	0	1.3489435	0	6.4180717	7.398967	0.4987179	0.17982902
3_bin.104	1.0990154	5.8276396	5.1191792	0.57839966	1.8152868	15.21779	0.5151636	0
3_bin.108	0	0	0.2528993	0.25103265	0.44125092	5.2053375	1.0436543	0
4_bin.7	2.5806894	8.683873	9.283527	1.7532703	12.877178	50.69564	10.709435	0.7652825
4_bin.8	1.9179578	2.3747916	2.480198	15.422416	39.736996	5.243046	2.3012857	0
4_bin.9	0.36289713	0.8634246	4.4072094	1.3749841	27.746445	1.1328622	0.36229268	0.532171
4_bin.15	0.21645658	0.3701496	1.0166905	0.5121445	21.800093	0.64920133	0.62247795	0.35606703
4_bin.16	0.959263	2.6152797	0.7824251	5.1229506	127.52013	24.50707	10.151682	16.505713
4_bin.22	0	0.1882918	1.3674376	0	9.931543	5.1371684	0	0
4_bin.23	0	0	0	0.42308736	7.4134526	0	0	0
4_bin.24	0	0	0	0.44519565	6.7539263	0	0.15351865	0
4_bin.26	0	0.23772675	0.3605955	0	7.6130815	0	0	0.869703
4_bin.29	0	0	1.3425678	1.1556985	16.845587	19.685787	2.774633	0.93058336
4_bin.30	0	0	0.21518058	0.21631618	34.490906	0	0	0
4_bin.36	2.7216177	11.317956	10.536016	15.507819	44.367744	2.7135043	1.3897752	14.611162
4_bin.38	0	0	0	0	7.4521656	0	0	0
4_bin.40	0.71369034	0	2.6984115	9.163257	49.085285	0	0.31580526	8.378566
4_bin.41	0.71352905	1.3286378	2.988604	1.9679962	54.326027	2.5242915	2.461523	3.0111475
4_bin.49	1.4439367	2.0205948	4.038322	7.0706663	53.74516	1.0086197	0.5923403	2.409148
4_bin.51	0	0	0	0	7.525819	0	0	0
4_bin.52	0	0	0	0	7.0236526	0	0	0
4_bin.55	0	0	0	0	6.1616745	0	0	0
5_bin.2	2.7959754	8.562764	16.307331	355.9827	77.77011	1.3663803	3.0970387	14.627311
5_bin.3	0	0.36400214	0.17351249	56.218044	0	0	0	0
5_bin.6	6.3589935	0.8930952	2.948863	22.209494	17.879322	0.6094724	0.27732834	1.991775
5_bin.8	0	0	0	11.918182	0	0	0	0
5_bin.9	3.0233066	21.423937	25.981379	135.96149	26.377304	2.6423805	1.4631195	23.380363
5_bin.11	1.7676344	0.77125764	3.3889837	9.602214	0.14848736	1.5139049	0.19695368	0
5_bin.18	0	0	0.21697207	5.710789	0	0.2681999	0.70930815	0
5_bin.19	0	0	0	81.704834	0	0	0	0
5_bin.20	0.1693066	7.342113	53.3316	6.5100737	0.83357555	1.134441	0.27825516	0
5_bin.25	0	0.53462243	0	15.95908	0.78187037	0	1.113712	0.16446641
5_bin.26	0	0	0	26.513592	0	0	0.53340095	0
5_bin.31	0	0	0	45.44612	0	0	7.2774334	4.831087
5_bin.32	0	0	0	34.742462	0	2.4354706	9.218916	5.467884
5_bin.34	0.14373685	0.18488725	0.18296972	11.648585	0	0	0	0
5_bin.36	0.123359226	0	0	63.901917	0.8044512	0	0	0
5_bin.37	0.72771513	0.74731016	1.2650174	6.4686875	0.32752982	1.0096895	0	0
5_bin.38	0	0	0.2922817	36.240654	1.7504845	0.2556191	0	2.7563746
5_bin.43	1.012109	1.7135231	0.83417964	6.31909	0	0.19603576	0.7811066	0
5_bin.44	0	0	0.22888637	27.388676	0	0.3160932	2.6363223	0.39114618
5_bin.45	0	0	1.1500716	14.111771	0	0	0	0
5_bin.50	0	0	0	5.016336	0	0	0	0
5_bin.51	3.310507	30.722803	0	17.453304	0.99807394	0	0	0
5_bin.52	0	0	0.16861048	16.55722	6.1783476	0.19071943	0	0
5_bin.53	0	0.14947517	0.35738277	5.6032186	2.935778	0	0	0
5_bin.57	0	0	0	4.5328445	0	0	0	0
6_bin.1	1.4163684	2.7889326	13.512552	1.5494325	2.1490707	0.5338152	0	0
6_bin.2	1.2699051	1.4613067	20.803984	0	0	0	0	0
6_bin.13	2.6347477	11.00918	11.781973	51.027733	0.20615108	1.7047037	0.22903344	0
6_bin.15	4.4112887	2.0614874	14.216553	0.28015417	2.757985	0	0	0.30373445
6_bin.19	0	1.6840761	28.988451	3.1790857	21.332558	17.974638	2.774275	1.4697328
6_bin.20	0	0.3012619	30.10874	0	0	0	0	0
6_bin.22	0	0	8.177646	0	0	0	0	0
6_bin.23	0	0.5547458	7.778649	0	0	0	0	0
6_bin.24	1.0378855	1.8020772	15.36441	0	0	8.287473	9.217982	1.3472872
6_bin.25	3.5849676	9.576706	59.013767	11.134142	11.189277	34.431293	1.1067084	0
6_bin.26	0.85907096	1.37846	16.742857	0.27619347	0.3085976	2.3202195	0.32519653	0
