Genome	ERR1137151_1.fastq.gz Mean
GCA_900546265.1_genomic	0.09777779
GCA_900543825.1_genomic	9.343506
GCA_000435975.1_genomic	0.9182578
GCA_000436755.1_genomic	1.8142929
GCA_000154345.1_genomic	0.13349438
GCA_000436335.1_genomic	6.0240045
GCF_012843875.1_genomic	1.0163854
GCA_000432135.1_genomic	1.6625357
GCA_001916965.1_genomic	0.21827027
GCA_900553315.1_genomic	0.1947976
GCF_000381365.1_genomic	0.2801176
GCA_900548135.1_genomic	1.191519
GCA_902363675.1_genomic	1.269295
GCA_025147325.1_genomic	2.6675467
GCA_018228645.1_genomic	0.81203777
GCA_025147765.1_genomic	0.8996547
GCF_009707925.1_genomic	1.6836283
GCF_000296465.1_genomic	2.1472492
GCF_001025155.1_genomic	10.28602
GCA_003531585.1_genomic	0.48238695
GCA_019423795.1_genomic	2.9038973
GCA_000613465.1_genomic	0.37925816
GCA_902362435.1_genomic	0.275309
GCF_014287435.1_genomic	0.699559
GCF_003481705.1_genomic	0.84582275
GCA_000431215.1_genomic	0.39605275
GCA_023403475.1_genomic	0.04269333
GCF_003634345.1_genomic	0.1023315
GCA_905203015.1_genomic	0.14057785
GCF_016901815.1_genomic	0.27094996
GCF_000190535.1_genomic	0.8183602
GCA_900543295.1_genomic	0.1412481
GCF_900103425.1_genomic	0.084124126
GCF_003024675.1_genomic	2.8787751
GCA_900548125.1_genomic	0.14385514
GCA_003490145.1_genomic	0.7071926
GCF_003287495.1_genomic	2.6288054
GCA_900546315.1_genomic	0.1736786
GCA_025148635.1_genomic	0.19897597
GCF_000188195.1_genomic	0.03643001
GCF_902381825.1_genomic	1.6768016
GCA_900548615.1_genomic	0.55420876
GCA_900545285.1_genomic	0.14757691
GCA_934875375.1_genomic	0.37214643
GCA_001312505.1_genomic	1.8510166
GCA_900553645.1_genomic	0.0970615
GCF_000016525.1_genomic	3.4309847
GCF_000196555.1_genomic	4.2018514
GCF_001487165.1_genomic	8.717527
GCA_003096535.1_genomic	0.7646761
GCF_003024685.1_genomic	1.7363967
GCA_900555925.1_genomic	1.1215428
GCF_900113455.1_genomic	2.554624
GCF_007164725.1_genomic	12.505479
GCF_000225345.1_genomic	0.8766962
GCA_934572365.1_genomic	0.070448965
GCA_900541285.1_genomic	4.6054907
GCA_934277655.1_genomic	0.22121544
GCA_900753285.1_genomic	0.50932145
GCA_900112995.1_genomic	9.758336
GCF_004134775.1_genomic	0.055818014
GCA_025149785.1_genomic	2.1014152
GCF_014287955.1_genomic	1.4729846
GCA_003526375.1_genomic	0.101202615
GCA_934476515.1_genomic	8.7727165
GCA_900553635.1_genomic	0.52888167
GCA_003525905.1_genomic	0.18692416
GCA_025146565.1_genomic	0.5885218
GCA_000434995.1_genomic	7.515507
GCA_900539945.1_genomic	5.8005643
GCA_904420575.1_genomic	0.098950356
GCA_021029595.1_genomic	0.7327303
GCA_000433635.1_genomic	2.0834181
GCA_904395335.1_genomic	0.034779698
GCF_000478885.1_genomic	0.14151704
GCF_013304735.1_genomic	2.3186853
GCF_020687205.1_genomic	0.5001629
GCA_000434635.1_genomic	0.2855204
GCA_900546685.1_genomic	0.07830042
GCA_025144995.1_genomic	0.58232594
GCA_003447295.1_genomic	3.7212262
GCF_000765235.1_genomic	1.7379835
GCA_000434215.1_genomic	0.49456987
GCF_009494135.1_genomic	97.52827
GCF_000382445.1_genomic	4.297118
GCA_018710945.1_genomic	0.4683772
GCF_900106845.1_genomic	0.84394616
GCF_023347255.1_genomic	4.217779
GCA_025150245.1_genomic	2.2402065
GCF_000236865.1_genomic	0.85972744
GCF_003096415.1_genomic	0.106527336
GCA_934256695.1_genomic	0.16435042
GCA_905209075.1_genomic	3.9992948
GCA_934255515.1_genomic	0.60428
GCA_001916715.1_genomic	1.6287454
GCA_000436075.1_genomic	0.19727845
GCF_014337215.1_genomic	0.098155394
GCA_000434235.1_genomic	13.657228
GCA_900548145.1_genomic	0.23444292
GCA_020687485.1_genomic	1.0728947
GCA_900557165.1_genomic	0.11054034
GCF_024168045.1_genomic	2.0090277
GCF_001406815.1_genomic	1.3323793
GCA_025148445.1_genomic	3.692082
GCA_003480425.1_genomic	1.1310917
GCF_900107675.1_genomic	0.3273098
GCA_900542395.1_genomic	0.56124026
GCA_900545515.1_genomic	0.06353155
GCA_900542445.1_genomic	0.251916
GCA_019410105.1_genomic	0.070439875
GCA_900551385.1_genomic	2.482917
GCF_002159845.1_genomic	0.32343745
GCF_013304385.1_genomic	1.0630332
GCA_000437915.1_genomic	0.04759864
GCA_900545925.1_genomic	0.58146816
GCA_900762945.1_genomic	1.6875596
GCA_000438155.1_genomic	0.092849754
GCF_003435815.1_genomic	0.9539615
GCF_001314995.1_genomic	3.0819657
GCA_019411365.1_genomic	3.1619372
GCA_003481005.1_genomic	0.8384666
GCA_905214955.1_genomic	0.38751623
GCF_000173975.1_genomic	8.16966
GCA_000508865.1_genomic	0.09468168
GCA_900542375.1_genomic	0.77327245
GCF_003479605.1_genomic	3.5403821
GCF_000011065.1_genomic	0.9781335
GCA_900541315.1_genomic	0.46677575
GCF_000233955.1_genomic	3.1170397
GCF_000701705.1_genomic	0.34993944
GCA_000437215.1_genomic	0.6316419
GCA_025147485.1_genomic	7.2642493
GCA_000438255.1_genomic	1.16092
GCA_003478355.1_genomic	0.94682735
GCA_934351765.1_genomic	0.10739794
GCF_020554845.1_genomic	0.99140704
GCF_009680455.1_genomic	3.1806636
GCA_025151215.1_genomic	6.1448636
GCF_020709055.1_genomic	1.1561946
GCF_014297285.1_genomic	0.8017973
GCA_900760795.1_genomic	4.526026
GCA_025150425.1_genomic	0.5612345
GCA_000436735.1_genomic	0.2121214
GCF_003480315.1_genomic	0.4003282
GCA_003507655.1_genomic	0.26537436
GCA_900546885.1_genomic	0.056170985
GCF_023347275.1_genomic	2.8000417
GCA_025145845.1_genomic	2.741592
GCA_934647945.1_genomic	0.041433632
GCA_900542115.1_genomic	0.38977897
GCF_000156195.1_genomic	1.0481396
GCA_000435555.1_genomic	5.2896347
GCF_014306095.1_genomic	0.7279745
GCA_905206455.1_genomic	0.38397804
GCA_003480165.1_genomic	7.7366095
GCF_003024715.1_genomic	0.8927537
GCA_944387015.1_genomic	0.25165474
GCF_001025135.1_genomic	0.8064932
GCF_003477705.1_genomic	0.6648847
GCF_006542665.1_genomic	3.5344195
GCA_900539695.1_genomic	0.59949213
GCA_905214155.1_genomic	0.5405711
GCA_003447235.1_genomic	23.730696
GCA_900546065.1_genomic	1.9824206
GCF_000153925.1_genomic	0.74682367
GCF_003473545.1_genomic	0.7020443
GCA_003478935.1_genomic	1.282527
GCA_900546255.1_genomic	0.9396246
GCA_018223365.1_genomic	0.74291
GCA_900546075.1_genomic	0.20069407
GCF_003477525.1_genomic	0.75328684
GCA_900549055.1_genomic	0.07620518
GCA_905214365.1_genomic	0.057193745
GCF_000154465.1_genomic	6.9605465
GCA_022009675.1_genomic	1.251818
GCA_902363135.1_genomic	0.5246061
GCA_900545585.1_genomic	1.2416552
GCF_014647335.1_genomic	0.34425607
GCF_015667935.1_genomic	0.1346128
GCA_930989305.1_genomic	0.10719143
GCA_905193085.1_genomic	0.19015612
GCA_003150355.1_genomic	1.7696438
GCA_003460745.1_genomic	2.211073
GCA_018223435.1_genomic	1.5561926
GCF_013009555.1_genomic	2.6435444
GCA_003584705.1_genomic	5.144706
GCF_009696065.1_genomic	2.0696318
GCA_900551415.1_genomic	0.13511762
GCF_003324185.1_genomic	6.9088216
GCA_900540595.1_genomic	0.72560924
GCF_000174195.1_genomic	4.9247327
GCF_003269275.1_genomic	0.10284181
GCF_010509575.1_genomic	7.556522
GCF_004123145.1_genomic	1.0611031
GCA_900066355.1_genomic	0.8317863
GCA_000437395.1_genomic	0.29852584
GCA_025152405.1_genomic	1.7053859
GCA_000433315.1_genomic	0.45823926
GCA_019423265.1_genomic	0.11233274
GCA_000285855.2_genomic	0.50515294
GCF_020687245.1_genomic	16.420925
GCA_900753095.1_genomic	1.9620949
GCF_002222615.2_genomic	1.1230966
GCA_900542935.1_genomic	0.11670306
GCF_014281125.1_genomic	0.05576667
GCF_014337155.1_genomic	0.53366405
GCF_020564355.1_genomic	1.4313288
GCA_900767885.1_genomic	0.24835828
GCA_905193765.1_genomic	0.08183296
GCF_009695995.1_genomic	2.6046247
GCF_001404675.1_genomic	20.592205
GCA_900547385.1_genomic	0.4435722
GCF_000012825.1_genomic	8.0819845
