#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan --input_type fastq ERR7803603_1.fastq.gz,ERR7803603_2.fastq.gz --nproc 40 --bowtie2out results/ERR7803603.bt2 -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o ERR7803603.metaphlan
#1474680086 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Bacteroidetes|c__CFGB76103	2|976|	0.00202	
k__Bacteria|p__Firmicutes|c__CFGB28372	2|1239|	0.00201	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00189	
k__Bacteria|p__Actinobacteria|c__CFGB52786	2|201174|	0.00154	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00141	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.00138	
k__Bacteria|p__Firmicutes|c__CFGB1470	2|1239|	0.00128	
k__Bacteria|p__Firmicutes|c__CFGB2836	2|1239|	0.00127	
k__Bacteria|p__Tenericutes|c__CFGB10317	2|544448|	0.00121	
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.00119	
k__Bacteria|p__Firmicutes|c__CFGB9773	2|1239|	0.00117	
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	0.00108	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.00107	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.00101	
k__Bacteria|p__Firmicutes|c__CFGB58291	2|1239|	0.0008	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.00068	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2102	2|1798710|	0.00057	
k__Bacteria|p__Firmicutes|c__CFGB58145	2|1239|	0.00034	
k__Bacteria|p__Firmicutes|c__CFGB1293	2|1239|	0.00021	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.0002	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.0002	
k__Bacteria|p__Firmicutes|c__CFGB2865	2|1239|	0.00015	
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.00013	
k__Bacteria|p__Firmicutes|c__CFGB13318	2|1239|	0.00012	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	5e-05	
k__Bacteria|p__Bacteroidetes|c__CFGB4448	2|976|	5e-05	
